Date,Price,Open,High,Low,Close,LogReturns,WeeklyReturns,WeeklyVolatility ,,Change %,,,,,,,,,,Vol.
03-01-2019,"10,672.25","10,796.80","10,814.05","10,661.25","10,676.96",,,,,-1.11%,,,,,,,,,,286.24M
02-01-2019,"10,792.50","10,868.85","10,895.35","10,735.05","10,751.47",0.006954,,,,-1.08%,,,,,,,,,,309.67M
01-01-2019,"10,910.10","10,881.70","10,923.60","10,807.10","10,929.58",0.016431,,,,0.44%,,,,,,,,,,159.40M
31-12-2018,"10,862.55","10,913.20","10,923.55","10,853.20","10,915.38",-0.0013,,,,0.02%,,,,,,,,,,186.50M
28-12-2018,"10,859.90","10,820.95","10,893.60","10,817.15","10,901.03",-0.001316,,,,0.74%,,,,,,,,,,253.09M
27-12-2018,"10,779.80","10,817.90","10,834.20","10,764.45","10,868.74",-0.002966,0.017803,0.008172448,,0.47%,,,,,,,,,,470.16M
26-12-2018,"10,729.85","10,635.45","10,747.50","10,534.55","10,701.39",-0.015518,,,,0.62%,,,,,,,,,,271.94M
24-12-2018,"10,663.50","10,780.90","10,782.30","10,649.25","10,690.34",-0.001033,,,,-0.84%,,,,,,,,,,230.29M
21-12-2018,"10,754.00","10,944.25","10,963.65","10,738.65","10,746.16",0.005208,,,,-1.81%,,,,,,,,,,389.24M
20-12-2018,"10,951.70","10,885.20","10,962.55","10,880.05","10,869.96",0.011455,,,,-0.14%,,,,,,,,,,328.80M
19-12-2018,"10,967.30","10,930.55","10,985.15","10,928.00","10,989.57",0.010944,0.011056,0.011130107,,0.54%,,,,,,,,,,321.80M
18-12-2018,"10,908.70","10,850.90","10,915.40","10,819.10","10,871.52",-0.010801,,,,0.19%,,,,,,,,,,294.94M
17-12-2018,"10,888.35","10,853.20","10,900.35","10,844.85","10,936.77",0.005984,,,,0.77%,,,,,,,,,,306.15M
14-12-2018,"10,805.45","10,784.50","10,815.75","10,752.10","10,798.52",-0.012721,,,,0.13%,,,,,,,,,,350.58M
13-12-2018,"10,791.55","10,810.75","10,838.60","10,749.50","10,864.80",0.006119,,,,0.50%,,,,,,,,,,387.81M
12-12-2018,"10,737.60","10,591.00","10,752.20","10,560.80","10,780.58",-0.007782,-0.019201,0.009200295,,1.79%,,,,,,,,,,371.70M
11-12-2018,"10,549.15","10,350.05","10,567.15","10,333.85","10,410.08",-0.034972,,,,0.58%,,,,,,,,,,438.70M
10-12-2018,"10,488.45","10,508.70","10,558.85","10,474.95","10,306.93",-0.009958,,,,-1.92%,,,,,,,,,,393.10M
07-12-2018,"10,693.70","10,644.80","10,704.55","10,599.35","10,737.41",0.040917,,,,0.87%,,,,,,,,,,335.85M
06-12-2018,"10,601.15","10,718.15","10,722.65","10,588.25","10,537.01",-0.01884,,,,-1.69%,,,,,,,,,,328.28M
05-12-2018,"10,782.90","10,820.45","10,821.05","10,747.95","10,733.89",0.018512,-0.004341,0.030373639,,-0.80%,,,,,,,,,,322.02M
04-12-2018,"10,869.50","10,877.10","10,890.95","10,833.35","10,862.96",0.011953,,,,-0.13%,,,,,,,,,,332.14M
03-12-2018,"10,883.75","10,930.70","10,941.20","10,845.35","10,937.26",0.006816,,,,0.06%,,,,,,,,,,422.36M
30-11-2018,"10,876.75","10,892.10","10,922.45","10,835.10","10,910.62",-0.002439,,,,0.17%,,,,,,,,,,467.86M
29-11-2018,"10,858.70","10,808.70","10,883.05","10,782.35","10,939.49",0.002642,,,,1.21%,,,,,,,,,,712.65M
28-11-2018,"10,728.85","10,708.75","10,757.80","10,699.85","10,751.59",-0.017326,0.001647,0.01120159,,0.40%,,,,,,,,,,437.63M
27-11-2018,"10,685.60","10,621.45","10,695.15","10,596.35","10,678.81",-0.006792,,,,0.54%,,,,,,,,,,382.83M
26-11-2018,"10,628.60","10,568.30","10,637.80","10,489.75","10,670.81",-0.000749,,,,0.97%,,,,,,,,,,332.86M
22-11-2018,"10,526.75","10,612.65","10,646.25","10,512.00","10,539.42",-0.012389,,,,-0.69%,,,,,,,,,,246.93M
21-11-2018,"10,600.05","10,670.95","10,671.30","10,562.35","10,614.39",0.007088,,,,-0.53%,,,,,,,,,,310.19M
20-11-2018,"10,656.20","10,740.10","10,740.85","10,640.85","10,632.70",0.001723,-0.011119,0.007561044,,-1.00%,,,,,,,,,,304.32M
19-11-2018,"10,763.40","10,731.25","10,774.70","10,688.80","10,812.81",0.016797,,,,0.76%,,,,,,,,,,280.52M
16-11-2018,"10,682.20","10,644.00","10,695.15","10,631.15","10,709.99",-0.009554,,,,0.62%,,,,,,,,,,353.38M
15-11-2018,"10,616.70","10,580.60","10,646.50","10,557.50","10,620.81",-0.008362,,,,0.38%,,,,,,,,,,306.01M
14-11-2018,"10,576.30","10,634.90","10,651.60","10,532.70","10,628.52",0.000726,,,,-0.06%,,,,,,,,,,396.37M
13-11-2018,"10,582.50","10,451.90","10,596.25","10,440.55","10,552.24",-0.007203,-0.007596,0.011002549,,0.96%,,,,,,,,,,262.54M
12-11-2018,"10,482.20","10,607.80","10,645.50","10,464.05","10,504.90",-0.004496,,,,-0.97%,,,,,,,,,,267.71M
09-11-2018,"10,585.20","10,614.70","10,619.55","10,544.85","10,600.90",0.009097,,,,-0.13%,,,,,,,,,,305.82M
07-11-2018,"10,598.85","10,614.45","10,616.45","10,591.80","10,683.44",0.007756,,,,0.65%,,,,,,,,,,2.83M
06-11-2018,"10,530.00","10,552.00","10,600.25","10,491.45","10,558.33",-0.01178,,,,0.06%,,,,,,,,,,309.88M
05-11-2018,"10,524.00","10,558.75","10,558.80","10,477.00","10,530.24",-0.002664,-0.002087,0.008776632,,-0.27%,,,,,,,,,,311.18M
02-11-2018,"10,553.00","10,462.30","10,606.95","10,457.70","10,635.97",0.009991,,,,1.66%,,,,,,,,,,434.18M
01-11-2018,"10,380.45","10,441.70","10,441.90","10,341.90","10,435.43",-0.019035,,,,-0.06%,,,,,,,,,,359.34M
31-10-2018,"10,386.60","10,209.55","10,396.00","10,105.10","10,398.43",-0.003553,,,,1.85%,,,,,,,,,,386.62M
30-10-2018,"10,198.40","10,239.40","10,285.10","10,175.35","10,187.18",-0.020525,,,,-0.51%,,,,,,,,,,298.75M
29-10-2018,"10,250.85","10,078.10","10,275.30","10,020.35","10,299.82",0.010996,-0.022125,0.015157784,,2.20%,,,,,,,,,,375.75M
26-10-2018,"10,030.00","10,122.35","10,128.85","10,004.55","10,027.20",-0.026825,,,,-0.94%,,,,,,,,,,375.56M
25-10-2018,"10,124.90","10,135.05","10,166.60","10,079.30","10,035.73",0.00085,,,,-0.98%,,,,,,,,,,522.42M
24-10-2018,"10,224.75","10,278.15","10,290.65","10,126.70","10,357.29",0.031539,,,,0.77%,,,,,,,,,,362.27M
23-10-2018,"10,146.80","10,152.60","10,222.10","10,102.35","10,055.14",-0.029607,,,,-0.96%,,,,,,,,,,312.04M
22-10-2018,"10,245.25","10,405.85","10,408.55","10,224.00","10,346.54",0.028568,0.004526,0.029170536,,-0.57%,,,,,,,,,,306.47M
19-10-2018,"10,303.55","10,339.70","10,380.10","10,249.60","10,191.84",-0.015064,,,,-1.43%,,,,,,,,,,368.55M
17-10-2018,"10,453.05","10,688.70","10,710.15","10,436.45","10,556.16",0.035122,,,,-1.24%,,,,,,,,,,293.59M
16-10-2018,"10,584.75","10,550.15","10,604.90","10,525.30","10,622.95",0.006307,,,,0.69%,,,,,,,,,,273.44M
15-10-2018,"10,512.50","10,524.20","10,526.30","10,410.15","10,564.19",-0.005546,,,,0.38%,,,,,,,,,,267.52M
12-10-2018,"10,472.50","10,331.55","10,492.45","10,322.15","10,571.24",0.000667,0.021485,0.018967994,,2.32%,,,,,,,,,,354.06M
