Date,Price,Open,High,Low,Vol.,Change %
2024-01-26,3736.40,3736.40,3736.40,3736.40,,0.19%
2024-01-25,3729.20,3729.20,3729.20,3729.20,,0.10%
2024-01-24,3725.30,3725.30,3725.30,3725.30,,1.48%
2024-01-23,3671.00,3671.00,3671.00,3671.00,,1.62%
2024-01-22,3612.40,3612.40,3612.40,3612.40,,-0.10%
2024-01-19,3616.10,3616.10,3616.10,3616.10,,0.31%
2024-01-18,3604.80,3604.80,3604.80,3604.80,,0.25%
2024-01-17,3595.80,3595.80,3595.80,3595.80,,-1.24%
2024-01-16,3640.90,3640.90,3640.90,3640.90,,-0.08%
2024-01-15,3643.70,3643.70,3643.70,3643.70,,0.25%
2024-01-12,3634.60,3634.60,3634.60,3634.60,,-0.26%
2024-01-11,3643.90,3643.90,3643.90,3643.90,,0.43%
2024-01-10,3628.20,3628.20,3628.20,3628.20,,0.01%
2024-01-09,3627.90,3627.90,3627.90,3627.90,,-0.50%
2024-01-08,3646.10,3646.10,3646.10,3646.10,,-0.77%
2024-01-05,3674.30,3674.30,3674.30,3674.30,,0.11%
2024-01-04,3670.30,3670.30,3670.30,3670.30,,-1.05%
2024-01-03,3709.10,3709.10,3709.10,3709.10,,-0.59%
2024-01-02,3731.20,3731.20,3731.20,3731.20,,-0.82%
2023-12-29,3762.10,3762.10,3762.10,3762.10,,-0.46%
2023-12-28,3779.40,3779.40,3779.40,3779.40,,-0.58%
2023-12-27,3801.40,3801.40,3801.40,3801.40,,1.73%
2023-12-22,3736.90,3736.90,3736.90,3736.90,,0.55%
2023-12-21,3716.60,3716.60,3716.60,3716.60,,0.04%
2023-12-20,3715.20,3715.20,3715.20,3715.20,,-0.23%
2023-12-19,3723.60,3723.60,3723.60,3723.60,,0.86%
2023-12-18,3691.90,3691.90,3691.90,3691.90,,-0.53%
2023-12-15,3711.50,3711.50,3711.50,3711.50,,0.44%
2023-12-14,3695.10,3695.10,3695.10,3695.10,,3.20%
2023-12-13,3580.50,3580.50,3580.50,3580.50,,0.00%
2023-12-12,3580.40,3580.40,3580.40,3580.40,,0.17%
2023-12-11,3574.30,3574.30,3574.30,3574.30,,-1.03%
2023-12-08,3611.40,3611.40,3611.40,3611.40,,0.79%
2023-12-07,3583.10,3583.10,3583.10,3583.10,,0.26%
2023-12-06,3573.90,3573.90,3573.90,3573.90,,-0.33%
2023-12-05,3585.90,3585.90,3585.90,3585.90,,-1.36%
2023-12-04,3635.50,3635.50,3635.50,3635.50,,-1.72%
2023-12-01,3699.30,3699.30,3699.30,3699.30,,1.54%
2023-11-30,3643.20,3643.20,3643.20,3643.20,,-0.24%
2023-11-29,3652.10,3652.10,3652.10,3652.10,,-0.34%
2023-11-28,3664.50,3664.50,3664.50,3664.50,,1.19%
2023-11-27,3621.30,3621.30,3621.30,3621.30,,-0.91%
2023-11-24,3654.40,3654.40,3654.40,3654.40,,-0.28%
2023-11-23,3664.60,3664.60,3664.60,3664.60,,0.57%
2023-11-22,3643.80,3643.80,3643.80,3643.80,,-1.56%
2023-11-21,3701.50,3701.50,3701.50,3701.50,,0.21%
2023-11-20,3693.60,3693.60,3693.60,3693.60,,1.45%
2023-11-17,3640.80,3640.80,3640.80,3640.80,,0.06%
2023-11-16,3638.60,3638.60,3638.60,3638.60,,-0.88%
2023-11-15,3670.90,3670.90,3670.90,3670.90,,0.45%
2023-11-14,3654.40,3654.40,3654.40,3654.40,,0.82%
2023-11-13,3624.50,3624.50,3624.50,3624.50,,1.03%
2023-11-10,3587.60,3587.60,3587.60,3587.60,,-1.46%
2023-11-09,3640.60,3640.60,3640.60,3640.60,,-0.04%
2023-11-08,3642.20,3642.20,3642.20,3642.20,,-0.02%
2023-11-07,3642.90,3642.90,3642.90,3642.90,,-0.81%
2023-11-06,3672.80,3672.80,3672.80,3672.80,,1.02%
2023-11-03,3635.70,3635.70,3635.70,3635.70,,0.90%
2023-11-02,3603.40,3603.40,3603.40,3603.40,,0.05%
2023-11-01,3601.60,3601.60,3601.60,3601.60,,-0.01%
2023-10-31,3602.00,3602.00,3602.00,3602.00,,-0.94%
2023-10-30,3636.30,3636.30,3636.30,3636.30,,0.74%
2023-10-27,3609.60,3609.60,3609.60,3609.60,,1.32%
2023-10-26,3562.50,3562.50,3562.50,3562.50,,-0.86%
2023-10-25,3593.50,3593.50,3593.50,3593.50,,0.25%
2023-10-24,3584.70,3584.70,3584.70,3584.70,,0.90%
2023-10-23,3552.70,3552.70,3552.70,3552.70,,-0.20%
2023-10-20,3559.70,3559.70,3559.70,3559.70,,-0.27%
2023-10-19,3569.30,3569.30,3569.30,3569.30,,-0.04%
2023-10-18,3570.60,3570.60,3570.60,3570.60,,0.27%
2023-10-17,3561.10,3561.10,3561.10,3561.10,,-0.12%
2023-10-16,3565.50,3565.50,3565.50,3565.50,,0.12%
2023-10-13,3561.10,3561.10,3561.10,3561.10,,-0.33%
