"Date","Price","Open","High","Low","Vol.","Change %"
"25-02-2025","4,117.50","4,117.50","4,117.50","4,117.50","","-1.00%"
"24-02-2025","4,159.10","4,159.10","4,159.10","4,159.10","","-0.87%"
"21-02-2025","4,195.40","4,195.40","4,195.40","4,195.40","","-0.32%"
"20-02-2025","4,208.80","4,208.80","4,208.80","4,208.80","","1.24%"
"19-02-2025","4,157.20","4,157.20","4,157.20","4,157.20","","0.21%"
"18-02-2025","4,148.50","4,148.50","4,148.50","4,148.50","","0.62%"
"17-02-2025","4,122.90","4,122.90","4,122.90","4,122.90","","-0.33%"
"14-02-2025","4,136.70","4,136.70","4,136.70","4,136.70","","0.44%"
"13-02-2025","4,118.70","4,118.70","4,118.70","4,118.70","","0.40%"
"12-02-2025","4,102.20","4,102.20","4,102.20","4,102.20","","0.58%"
"11-02-2025","4,078.70","4,078.70","4,078.70","4,078.70","","-0.80%"
"10-02-2025","4,111.40","4,111.40","4,111.40","4,111.40","","0.43%"
"07-02-2025","4,093.90","4,093.90","4,093.90","4,093.90","","0.89%"
"06-02-2025","4,057.60","4,057.60","4,057.60","4,057.60","","0.46%"
"05-02-2025","4,039.00","4,039.00","4,039.00","4,039.00","","0.50%"
"04-02-2025","4,019.00","4,019.00","4,019.00","4,019.00","","0.55%"
"03-02-2025","3,997.00","3,997.00","3,997.00","3,997.00","","0.70%"
"31-01-2025","3,969.20","3,969.20","3,969.20","3,969.20","","-1.05%"
"30-01-2025","4,011.20","4,011.20","4,011.20","4,011.20","","0.45%"
"29-01-2025","3,993.10","3,993.10","3,993.10","3,993.10","","1.07%"
"28-01-2025","3,950.70","3,950.70","3,950.70","3,950.70","","-1.17%"
"27-01-2025","3,997.50","3,997.50","3,997.50","3,997.50","","-1.55%"
